day,year,mo,da,collision_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud,NUM_COLLISIONS
7,2016,02,21,2016-02-21,52.8,31.8,1011.7,10.0,4.3,8.9,20.0,61.0,39.0,0.0,999.9,0,0,0,0,0,0,481
4,2018,02,01,2018-02-01,37.5,21.2,1015.2,9.9,4.3,12.0,22.9,45.0,18.0,0.0,999.9,0,1,0,0,0,0,594
6,2014,02,08,2014-02-08,25.9,5.0,1025.2,10.0,4.4,8.9,15.0,32.0,21.0,0.0,9.1,0,0,0,0,0,0,424
6,2017,02,11,2017-02-11,37.3,21.5,1015.6,9.6,4.4,13.0,21.0,48.0,19.0,0.0,7.9,0,0,1,0,0,0,511
6,2018,02,24,2018-02-24,46.1,40.5,1021.7,8.5,4.5,12.0,19.0,55.0,39.9,0.06,999.9,0,1,0,0,0,0,540
1,2016,02,22,2016-02-22,45.3,26.8,1017.9,10.0,4.5,8.9,15.9,55.0,37.9,0.03,999.9,0,1,0,0,0,0,615
5,2018,02,09,2018-02-09,29.9,14.7,1032.5,10.0,4.5,8.9,18.1,35.1,25.0,0.0,999.9,0,0,0,0,0,0,583
2,2018,02,20,2018-02-20,54.4,50.1,1026.2,5.7,4.5,9.9,18.1,66.9,36.0,0.04,999.9,0,1,0,0,0,0,535
4,2015,02,12,2015-02-12,32.3,19.4,1009.9,8.9,4.6,8.9,21.0,39.9,21.9,0.0,7.9,0,0,1,0,0,0,526
5,2015,02,27,2015-02-27,23.2,5.0,1025.7,10.0,4.6,8.9,999.9,32.0,18.0,0.0,11.0,0,0,0,0,0,0,703
3,2017,02,15,2017-02-15,40.3,29.5,1000.1,9.4,4.6,15.9,25.1,46.9,28.0,0.0,2.0,0,0,0,0,0,0,603
6,2015,02,14,2015-02-14,23.4,4.9,1014.0,8.5,4.6,8.9,20.0,32.0,8.1,0.0,7.9,0,0,1,0,0,0,436
6,2015,02,21,2015-02-21,20.5,3.2,1031.1,7.7,4.6,8.0,17.1,28.9,1.9,0.0,9.1,0,0,1,0,0,0,517
3,2018,02,28,2018-02-28,49.7,28.3,1018.8,10.0,4.7,8.9,22.9,61.0,39.0,0.0,999.9,0,0,0,0,0,0,654
2,2013,02,05,2013-02-05,29.1,20.3,1013.8,6.5,4.7,8.9,15.0,30.0,28.0,0.01,999.9,0,0,1,0,0,0,566
3,2016,02,03,2016-02-03,48.8,40.3,1022.7,7.7,4.7,9.9,22.0,57.0,37.9,0.0,999.9,0,1,0,0,0,0,579
4,2017,02,02,2017-02-02,39.5,22.2,1017.4,10.0,4.7,11.1,21.0,46.9,33.1,0.0,999.9,0,0,0,0,0,0,586
2,2016,02,09,2016-02-09,30.4,21.8,1004.4,9.4,4.7,8.9,999.9,39.0,27.0,0.05,999.9,0,0,1,0,0,0,571
4,2014,02,20,2014-02-20,42.8,26.6,1019.7,9.5,4.7,8.9,18.1,50.0,37.9,0.26,16.9,0,0,0,0,0,0,556
7,2018,02,18,2018-02-18,37.2,27.4,1023.6,7.1,4.7,9.9,18.1,44.1,28.0,0.53,999.9,1,0,1,0,0,0,472
3,2018,02,21,2018-02-21,65.9,56.8,1024.9,9.5,4.9,11.1,19.0,78.1,46.9,0.0,999.9,0,0,0,0,0,0,601
5,2013,02,15,2013-02-15,43.0,30.7,1015.0,7.8,4.9,9.9,15.9,55.0,37.0,0.0,999.9,0,0,0,0,0,0,604
4,2014,02,06,2014-02-06,27.3,18.7,1020.4,9.5,4.9,8.0,14.0,33.1,21.2,1.43,9.1,0,0,0,0,0,0,569
4,2016,02,04,2016-02-04,54.7,44.9,1014.2,9.1,5.0,13.0,22.0,59.0,42.1,0.73,999.9,0,0,0,0,0,0,609
1,2013,02,25,2013-02-25,37.5,22.7,1018.1,10.0,5.0,9.9,22.9,45.0,32.0,0.01,999.9,0,0,0,0,0,0,490
4,2013,02,07,2013-02-07,29.3,6.2,1029.8,10.0,5.0,8.9,17.1,35.1,26.1,0.0,999.9,0,0,0,0,0,0,526
6,2016,02,06,2016-02-06,34.6,16.7,1027.5,10.0,5.0,9.9,19.0,44.1,30.0,0.15,1.2,0,0,0,0,0,0,553
2,2018,02,13,2018-02-13,32.1,12.5,1040.6,10.0,5.0,8.9,15.9,39.0,26.1,0.0,999.9,0,0,0,0,0,0,613
2,2013,02,26,2013-02-26,39.9,28.7,1023.4,9.4,5.0,9.9,15.9,44.1,35.1,0.0,999.9,0,0,0,0,0,0,537
5,2018,02,16,2018-02-16,55.3,49.2,1004.6,8.4,5.0,8.9,24.1,62.1,43.0,0.17,999.9,0,1,0,0,0,0,582
3,2014,02,26,2014-02-26,27.4,9.3,1012.7,8.9,5.0,14.0,22.0,33.1,24.1,0.0,5.9,0,0,1,0,0,0,511
3,2014,02,12,2014-02-12,18.9,2.7,1032.4,10.0,5.0,8.9,14.0,26.1,12.9,0.0,9.8,0,0,0,0,0,0,640
1,2016,02,01,2016-02-01,52.1,35.4,1009.2,9.8,5.0,7.0,18.1,59.0,36.0,0.0,3.9,0,1,0,0,0,0,716
5,2017,02,24,2017-02-24,62.7,51.6,1012.3,9.9,5.1,9.9,18.1,70.0,44.1,0.0,999.9,0,0,0,0,0,0,657
2,2014,02,11,2014-02-11,21.7,4.1,1026.7,10.0,5.2,8.9,15.9,28.9,16.0,0.0,9.8,0,0,0,0,0,0,636
5,2016,02,19,2016-02-19,30.1,8.3,1032.9,10.0,5.2,9.9,17.1,37.0,24.1,0.0,999.9,0,0,0,0,0,0,532
6,2016,02,27,2016-02-27,31.9,9.8,1018.3,10.0,5.2,11.1,19.0,41.0,26.1,0.0,999.9,0,0,0,0,0,0,388
6,2018,02,17,2018-02-17,34.5,18.7,1024.9,9.3,5.2,11.1,22.0,42.1,28.0,0.04,999.9,1,0,1,0,0,0,604
5,2017,02,03,2017-02-03,30.6,11.0,1021.8,10.0,5.2,9.9,15.0,45.0,26.1,0.0,999.9,0,0,0,0,0,0,609
1,2014,02,03,2014-02-03,35.5,30.4,1019.7,3.7,5.3,8.9,14.0,55.9,30.0,0.33,1.2,1,1,1,0,0,0,960
2,2017,02,07,2017-02-07,39.3,34.9,1013.6,5.5,5.3,11.1,18.1,48.9,36.0,0.06,999.9,0,1,0,0,0,0,626
6,2017,02,25,2017-02-25,57.3,53.5,1008.1,8.7,5.4,15.0,24.1,70.0,50.0,0.0,999.9,1,1,0,0,0,0,573
1,2014,02,10,2014-02-10,25.1,12.4,1019.4,7.6,5.4,9.9,19.0,30.9,21.0,0.1,7.9,1,0,1,0,0,0,678
1,2017,02,06,2017-02-06,41.6,20.4,1016.7,10.0,5.5,8.0,20.0,48.0,36.0,0.0,999.9,0,0,0,0,0,0,568
2,2017,02,14,2017-02-14,32.6,18.8,1013.0,10.0,5.5,11.1,22.0,39.9,28.0,0.02,2.0,0,0,0,0,0,0,688
3,2018,02,07,2018-02-07,32.9,25.0,1030.5,6.4,5.5,11.1,22.0,45.0,26.1,0.0,999.9,1,1,1,0,0,0,653
1,2014,02,17,2014-02-17,23.7,3.1,1024.2,10.0,5.5,11.1,18.1,32.0,18.0,0.0,18.1,0,0,0,0,0,0,491
2,2017,02,21,2017-02-21,40.8,18.8,1026.7,10.0,5.5,9.9,17.1,55.0,34.0,0.0,999.9,0,0,0,0,0,0,483
1,2018,02,12,2018-02-12,48.4,36.6,1023.7,8.8,5.5,12.0,19.0,62.1,39.9,0.91,999.9,0,0,0,0,0,0,543
