day,year,mo,da,collision_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,rain_drizzle,snow_ice_pellets,NUM_COLLISIONS,Driver_Inattention,Following_Too_Close,Traffic_Control_Disregarded,Unsafe_Speed,Pavement_Slippery,Alcohol_Involvement,Reaction_Uninvolved_Vehicle,View_Obstructed,Outside_Car_Distraction,Pedestrian_Bicyclist_Confusion,Aggressive_Driving_Rage,Obstruction_Debris,Glare,Pavement_Defective,Animals_Action,Driverless_Runaway_Vehicle,Lighting_Defects,Tinted_Windows,Windshield_Inadequate
3,2015,10,21,21/10/2015,65,42.1,1024.5,9.9,2.8,8.9,15,75.9,48,0,0,0,0,0,164,127,0,8,0,0,2,0,8,5,1,6,2,3,1,1,0,0,0,0
6,2016,6,11,11/06/2016,72.1,50.9,1013.2,9.6,2.5,8.9,18.1,88,57,0,0,0,0,0,278,159,61,11,10,0,16,8,5,1,2,1,0,2,2,0,0,0,0,0
3,2018,8,29,29/08/2018,86.5,71.8,1015.4,9,4.2,8.9,15.9,93.9,79,0,0,0,0,0,313,186,67,11,9,0,4,11,9,2,5,2,2,0,3,1,0,1,0,0
2,2019,11,26,26/11/2019,51.6,36.6,1015,9.8,3.8,8.9,14,61,39,0,0,0,0,0,317,208,66,7,6,0,2,12,7,1,2,2,2,2,0,0,0,0,0,0
4,2013,5,16,16/05/2013,69.5,51,1007.8,9.9,3.3,9.9,20,79,62.1,0,0,0,0,0,99,73,0,6,1,0,4,1,2,6,0,2,2,1,1,0,0,0,0,0
4,2013,4,25,25/04/2013,56.1,31.5,1018.1,9.6,4.9,9.9,21,66,46,0,0,0,0,0,105,83,1,6,0,0,1,0,1,8,0,1,3,1,0,0,0,0,0,0
2,2016,3,8,08/03/2016,55.1,34.3,1019.3,9.2,3.3,9.9,15.9,66.9,36,0,0,0,0,0,141,108,0,11,2,0,3,1,0,9,1,2,1,0,2,1,0,0,0,0
4,2015,12,10,10/12/2015,54.9,43.5,1014.6,0,4.5,9.9,15.9,60.1,39.9,0,0,0,0,0,158,114,0,12,0,0,4,1,4,14,0,4,1,4,0,0,0,0,0,0
4,2016,4,28,28/04/2016,52.6,31.6,1015.6,9.9,4.8,9.9,15,62.1,46,0,0,0,0,0,218,114,53,7,11,0,3,14,5,0,3,2,4,0,2,0,0,0,0,0
5,2015,10,23,23/10/2015,58.8,37.5,1021.6,9.8,5,9.9,17.1,75,51.1,0,0,0,0,0,164,116,0,15,2,0,2,1,5,11,0,3,1,7,1,0,0,0,0,0
7,2016,6,12,12/06/2016,79.4,55.5,1004.5,9.7,5.6,9.9,21,88,59,0,0,0,0,0,263,116,58,15,15,0,21,9,8,4,1,8,1,4,2,0,0,0,0,1
7,2016,9,11,11/09/2016,79.4,62.9,1014.2,8.8,5.1,9.9,24.1,90,73.9,0,0,0,0,0,275,145,55,9,18,0,13,15,4,1,6,3,0,3,3,0,0,0,0,0
1,2017,8,28,28/08/2017,69,53.4,1025,9.7,4.7,9.9,15,78.1,63,0,0,0,0,0,275,156,68,10,8,0,6,14,3,3,4,0,1,0,2,0,0,0,0,0
3,2016,12,14,14/12/2016,39.4,22.8,1015.3,9.6,4.3,9.9,18.1,43,35.1,0,0,0,0,0,309,179,71,10,9,0,8,6,8,4,5,3,1,4,0,1,0,0,0,0
1,2013,3,11,11/03/2013,44.7,38.2,1023.9,9.5,5.5,11.1,20,53.1,37.9,0,0,0,0,0,79,47,0,6,3,0,0,3,2,11,0,3,2,0,2,0,0,0,0,0
2,2013,12,31,31/12/2013,26,10.4,1020.6,9.9,4.4,11.1,22.9,45,21,0,0,0,0,0,77,52,0,8,2,0,5,0,0,6,0,0,2,0,0,2,0,0,0,0
4,2013,1,10,10/01/2013,44.3,25.4,1028.5,9.9,5.9,11.1,19,48,39.9,0,0,0,0,0,82,54,0,7,0,0,1,1,2,8,0,0,1,7,1,0,0,0,0,0
3,2014,5,28,28/05/2014,61.5,52.8,1013.2,9.2,6.3,11.1,18.1,86,55,0,0,0,0,0,85,56,0,5,1,0,4,2,2,10,1,2,2,0,0,0,0,0,0,0
3,2014,8,6,06/08/2014,76.3,60.3,1011.8,9.8,3.1,11.1,20,82.9,70,0,0,0,0,0,105,77,1,5,0,0,3,1,1,9,0,5,2,0,1,0,0,0,0,0
3,2014,6,18,18/06/2014,83.4,62.7,1011.7,9.7,5.6,11.1,19,89.1,71.1,0,0,0,0,0,136,92,0,9,2,0,11,0,5,9,2,2,2,1,1,0,0,0,0,0
3,2016,6,22,22/06/2016,77.2,48.6,1009.4,9.8,4.1,11.1,22,87.1,68,0,0,0,0,0,337,185,93,15,8,0,4,13,1,3,10,3,0,2,0,0,0,0,0,0
5,2013,4,19,19/04/2013,60.8,55,1012.8,7.9,6.1,12,21,71.1,54,0,0,0,0,0,101,77,1,6,0,0,7,0,1,5,0,1,2,0,0,1,0,0,0,0
5,2015,9,4,04/09/2015,80.6,65.2,1015.8,7.3,5,12,19,93,73.9,0,0,0,0,0,131,102,0,8,2,0,4,0,3,9,0,2,1,0,0,0,0,0,0,0
4,2017,9,28,28/09/2017,73.9,59.2,1008.1,9.6,4.6,12,19,87.1,66.9,0,0,0,0,0,353,180,89,19,17,0,8,14,7,0,9,3,3,4,0,0,0,0,0,0
2,2013,4,23,23/04/2013,45.4,34.5,1027.8,9.8,8.3,14,22,53.1,41,0,0,0,0,0,69,48,0,6,0,0,2,0,2,4,0,1,2,0,3,0,0,1,0,0
2,2014,5,13,13/05/2014,68.5,49.5,1020.4,9.6,5,14,24.1,84.9,60.1,0,0,0,0,0,89,66,1,9,0,0,1,2,4,5,0,0,0,1,0,0,0,0,0,0
1,2015,3,30,30/03/2015,43.3,20.5,1013.4,9.8,6.6,14,25.1,54,25,0,0,0,0,1,107,80,0,5,1,0,10,1,2,6,0,2,0,0,0,0,0,0,0,0
2,2016,8,2,02/08/2016,73,62,1018.7,9.4,6.1,14,15.9,80.1,69.1,0,0,0,0,0,271,145,65,7,10,0,4,10,13,3,6,3,0,1,2,2,0,0,0,0
7,2013,11,24,24/11/2013,27.6,4.8,1019.9,9.7,10.8,21,34,37.4,23,0,0,1,0,1,73,46,0,8,0,0,7,0,1,4,0,5,1,1,0,0,0,0,0,0
2,2018,5,29,29/05/2018,72.8,61.9,1015.3,8.4,1.2,4.1,0,89.1,55.9,0,0,0,0,0,361,221,88,6,5,0,3,14,9,0,4,3,1,0,1,2,4,0,0,0
7,2018,10,7,07/10/2018,71.6,66.9,1021.7,8.9,2.2,5.1,0,79,63,0,0,0,0,0,242,116,56,15,19,0,10,9,4,4,5,1,0,0,1,1,1,0,0,0
1,2018,8,6,06/08/2018,84.4,69.6,1018.2,8.7,1.6,5.1,0,91.9,73,0,0,0,0,0,291,148,76,13,11,0,6,15,3,2,5,3,2,1,4,1,1,0,0,0
6,2016,6,18,18/06/2016,71.3,49.5,1021.9,9.8,2.8,5.1,0,87.1,61,0,0,0,0,0,325,168,84,15,15,0,14,12,4,1,3,3,0,2,2,1,1,0,0,0
1,2018,8,27,27/08/2018,80.3,68.9,1018,8.7,2.3,5.1,0,88,69.1,0,0,0,0,0,311,192,63,12,10,0,2,12,4,1,6,3,3,0,0,1,1,0,0,1
1,2017,4,24,24/04/2017,54.2,42,1020.5,9.8,2.7,6,0,66,46,0,0,0,0,0,259,141,63,13,11,0,7,9,7,0,2,2,1,1,0,0,2,0,0,0
7,2016,7,24,24/07/2016,84,60,1013.7,9.3,3,6,0,96.1,75,0,0,0,0,0,268,146,53,10,18,0,10,9,4,3,8,1,0,3,1,0,2,0,0,0
2,2016,8,9,09/08/2016,78.2,61.5,1021.5,9.3,1.8,6,0,87.1,71.1,0,0,0,0,0,324,162,96,12,16,0,4,10,6,2,4,3,2,2,1,2,1,1,0,0
3,2016,11,2,02/11/2016,59.7,48.9,1023.8,9.6,3,6,0,70,39.9,0,0,0,0,0,318,166,80,9,12,0,9,9,5,4,10,4,4,5,0,0,1,0,0,0
1,2016,11,28,28/11/2016,44.3,28.9,1021.1,9.9,3.3,6,0,52,37.9,0,0,0,0,0,307,174,84,12,11,0,0,8,6,1,4,3,0,2,0,0,2,0,0,0
5,2017,7,28,28/07/2017,76.8,68.1,1010.3,8.5,1.3,6,0,84.9,64.9,0,0,0,0,0,316,177,73,14,18,0,3,11,5,1,7,5,1,0,0,0,1,0,0,0
5,2016,10,7,07/10/2016,63.4,53.2,1025.1,7.5,1.8,6,0,75,55,0,0,0,0,0,347,181,87,8,16,0,6,15,8,1,8,2,2,10,0,1,1,0,0,1
2,2018,7,3,03/07/2018,82.5,74.4,1020.4,6.3,0.8,6,0,91.9,78.1,0,0,0,1,0,316,181,78,11,10,0,3,12,7,2,4,2,3,1,0,1,1,0,0,0
4,2016,5,26,26/05/2016,79.3,48.3,1018,8.3,3.3,6,0,90,61,0,0,0,0,0,337,190,84,9,14,0,6,8,5,2,6,8,3,0,0,0,2,0,0,0
2,2019,7,30,30/07/2019,84.2,68.7,1015,9.5,3.3,6,0,91.9,73,0,0,0,0,0,305,200,46,9,10,0,3,10,13,0,4,4,2,1,1,1,1,0,0,0
4,2016,9,8,08/09/2016,78.2,68.1,1012.6,8.2,2,6,0,89.1,71.1,0,0,0,0,0,347,205,77,8,9,0,6,14,10,0,12,3,0,2,0,0,1,0,0,0
1,2018,6,18,18/06/2018,80.9,65.1,1014.9,9,3.9,6,0,91,66,0,0,0,0,0,391,248,80,9,9,0,5,11,4,4,11,3,2,1,1,0,2,1,0,0
7,2017,8,13,13/08/2017,76.1,64.9,1013.2,9.8,3.7,7,0,82.9,64,0,0,0,0,0,266,131,68,9,9,0,12,16,5,1,3,7,2,1,0,1,1,0,0,0
7,2019,9,22,22/09/2019,75.1,59.7,1020.2,9.9,2.6,7,0,86,61,0,0,0,0,0,244,147,51,5,11,0,9,6,3,1,4,3,2,0,0,1,1,0,0,0
6,2017,10,7,07/10/2017,72.5,64.8,1018.7,8.2,2.6,7,0,82,66,0,0,0,0,0,289,151,71,14,11,0,11,9,3,2,8,2,1,1,2,1,2,0,0,0
3,2016,7,20,20/07/2016,76.5,52.6,1021.9,9.7,3.1,7,0,84.9,68,0,0,0,0,0,313,152,90,11,17,0,3,14,11,2,7,1,1,0,1,1,2,0,0,0
5,2017,10,6,06/10/2017,73.3,61.9,1018.2,9.8,2.8,7,0,82.9,64.9,0,0,0,1,0,289,152,81,7,10,0,4,15,5,1,6,2,1,1,0,1,3,0,0,0
4,2018,8,16,16/08/2018,82,68.1,1016.6,8,2.4,7,0,88,70,0,0,0,0,0,278,155,71,16,6,0,3,6,8,2,4,4,0,0,2,0,1,0,0,0
1,2016,8,29,29/08/2016,80.6,62.4,1019.7,9.4,3.9,7,0,91,72,0,0,0,0,0,314,164,81,15,11,0,5,16,6,1,3,4,2,5,0,0,1,0,0,0
6,2016,9,17,17/09/2016,67.1,56.2,1023.4,9.9,2.6,7,0,77,59,0,0,0,0,0,311,174,70,7,14,0,14,10,8,2,4,6,0,1,0,0,1,0,0,0
1,2017,9,25,25/09/2017,78.6,64.4,1017.1,9.9,2.3,7,0,91,69.1,0,0,0,0,0,328,181,79,16,14,0,4,10,4,2,6,3,1,3,2,0,3,0,0,0
3,2017,10,18,18/10/2017,58.5,40.8,1025.6,9.4,3.2,7,0,72,42.1,0,0,0,0,0,344,190,90,11,12,0,0,11,6,3,8,4,1,4,2,0,2,0,0,0
3,2016,8,3,03/08/2016,71.5,58.9,1021,9.4,2.6,8,0,80.1,66,0,0,0,0,0,289,155,65,14,10,0,5,13,3,1,13,2,2,2,1,1,2,0,0,0
3,2018,5,9,09/05/2018,63,46.8,1021.2,9,1.8,8,0,77,53.1,0,0,0,0,0,342,181,98,9,12,0,1,13,5,3,6,6,1,5,1,0,1,0,0,0
4,2017,10,19,19/10/2017,63.2,44.6,1022.9,9.9,4.1,8,0,72,50,0,0,0,0,0,381,188,107,15,11,0,9,22,6,3,4,4,1,7,2,1,1,0,0,0
3,2016,6,1,01/06/2016,75.3,54.4,1017.5,8.3,4.6,8.9,0,84.9,69.1,0,0,0,0,0,375,208,96,9,7,0,9,15,7,5,9,3,3,1,0,2,1,0,0,0
4,2016,8,25,25/08/2016,77.8,64.2,0,0,0,0,0,86,69.8,0,0,0,0,0,296,156,80,13,5,0,3,12,7,2,9,3,0,4,1,0,1,0,0,0
7,2018,9,16,16/09/2018,73.8,64.5,1022.4,9.9,0,0,0,82.9,68,0,0,0,0,0,285,159,50,14,10,0,12,14,6,2,3,7,4,3,0,0,1,0,0,0
1,2016,5,16,16/05/2016,52.5,27.1,0,0,0,0,0,66.2,42.8,0,0,0,0,0,327,172,77,11,16,0,7,15,6,3,7,4,2,5,0,1,1,0,0,0
3,2018,10,24,24/10/2018,50,34,1017.1,0,0,0,0,63,46,0,0,0,0,0,362,212,85,11,9,0,4,10,12,3,5,0,2,6,0,1,2,0,0,0
4,2018,10,25,25/10/2018,45.5,30.6,1020,0,0,0,0,50,41,0,0,0,0,0,356,220,65,12,11,0,4,12,11,1,9,1,2,3,3,0,1,1,0,0
1,2015,12,7,07/12/2015,48,31.1,1021.4,0,2.9,6,0,54,39,0,0,0,0,0,147,117,0,10,0,0,4,0,0,7,0,1,1,3,2,1,0,0,0,1
1,2015,8,17,17/08/2015,84.4,64.9,1017.9,9.5,2.5,7,0,95,75.9,0,0,0,0,0,122,90,1,9,0,0,4,0,0,9,0,4,1,0,1,2,0,0,0,1
1,2017,12,4,04/12/2017,45.1,38.7,1028.1,7.3,2.5,7,0,51.1,39.9,0,0,0,0,0,293,150,70,16,9,0,6,16,11,5,3,5,0,1,0,0,0,0,0,1
1,2014,7,21,21/07/2014,73.9,60.3,1021.3,9.8,1.6,4.1,0,84.9,64,0,0,0,0,0,93,67,1,6,1,0,3,2,0,10,0,2,0,0,0,1,0,0,0,0
3,2013,10,30,30/10/2013,52.8,39,1025.5,9.6,1.8,4.1,0,60.1,44.1,0,0,0,0,0,97,75,1,9,1,0,1,0,1,7,0,1,0,0,0,1,0,0,0,0
5,2013,10,4,04/10/2013,73.5,59.7,1017,8.5,2,4.1,0,86,63,0,0,0,1,0,115,86,0,9,0,0,7,2,2,6,0,0,2,0,1,0,0,0,0,0
1,2018,7,30,30/07/2018,74.6,61.2,1020.3,9.8,1.4,4.1,0,82,70,0,0,1,1,0,255,140,61,12,4,0,7,9,6,2,2,3,4,1,1,2,0,0,1,0
2,2013,8,20,20/08/2013,76.6,61.9,1018.6,9.7,3.3,5.1,0,88,66,0,0,0,0,0,70,50,0,5,0,0,2,0,1,5,1,2,2,1,0,0,0,1,0,0
1,2013,8,19,19/08/2013,72.1,58.2,1019.1,9.8,2.4,5.1,0,79,66,0,0,0,0,0,81,56,0,7,1,0,3,2,0,5,0,2,1,0,3,1,0,0,0,0
4,2015,11,26,26/11/2015,49,38,1042.1,9.7,2.5,5.1,0,60.1,36,0,0,0,0,0,107,66,0,19,0,0,12,0,5,2,0,0,0,2,1,0,0,0,0,0
3,2013,8,21,21/08/2013,80.1,61.4,1020.3,9.8,1.9,5.1,0,90,68,0,0,0,0,0,88,67,0,5,0,0,3,2,0,7,0,1,1,0,1,1,0,0,0,0
3,2014,4,2,02/04/2014,47.3,35.6,1018.6,9.8,1.9,5.1,0,60.1,39,0,0,0,0,0,97,70,0,8,1,0,4,0,1,12,0,1,0,0,0,0,0,0,0,0
4,2013,7,18,18/07/2013,88.2,68.6,1016.8,8.2,3.6,5.1,0,98.1,81,0,0,0,0,0,103,73,0,6,1,0,3,2,5,10,0,2,1,0,0,0,0,0,0,0
4,2013,10,3,03/10/2013,71.7,54.7,1017.9,9.9,0.9,5.1,0,82.9,63,0,0,0,0,0,94,73,0,3,1,0,3,1,2,6,1,0,0,3,1,0,0,0,0,0
7,2015,7,5,05/07/2015,74.6,58.9,1018.4,9.2,1.3,5.1,0,82.9,68,0,0,0,0,0,117,78,1,12,1,0,9,1,2,10,0,1,2,0,0,0,0,0,0,0
7,2015,7,12,12/07/2015,79.9,59.1,1016.6,9.9,1.7,5.1,0,89.1,69.1,0,0,0,0,0,113,79,0,8,1,0,10,0,3,4,1,3,1,0,3,0,0,0,0,0
2,2014,8,26,26/08/2014,77.7,61.6,1020.1,9.5,2,5.1,0,89.1,64,0,0,0,0,0,116,80,0,11,1,0,4,0,2,15,0,1,0,2,0,0,0,0,0,0
5,2013,9,20,20/09/2013,67.6,53.9,1018.1,9.6,2.1,5.1,0,79,55,0,0,0,0,0,121,84,1,9,1,0,5,2,4,10,0,1,0,3,1,0,0,0,0,0
7,2014,9,28,28/09/2014,73.1,57.4,1020.2,9.8,0.9,5.1,0,84,60.1,0,0,0,0,0,130,86,0,11,2,0,8,1,0,18,0,2,0,1,1,0,0,0,0,0
2,2015,7,28,28/07/2015,82.7,65.1,1015.3,9.4,2.2,5.1,0,95,71.1,0,0,0,0,0,150,109,0,13,0,0,2,2,3,15,0,1,2,2,1,0,0,0,0,0
3,2016,10,12,12/10/2016,57.9,48.8,1027.2,9.8,1.2,5.1,0,66,46,0,0,0,0,0,222,123,45,12,12,0,6,10,2,1,3,3,1,0,3,0,0,0,1,0
1,2016,10,3,03/10/2016,64.6,57.1,1016.3,7.2,1.8,5.1,0,72,57,0,0,0,0,0,212,127,39,9,7,0,5,10,5,1,5,2,0,0,1,1,0,0,0,0
6,2015,9,19,19/09/2015,74.7,61.8,1014.4,9.3,1.8,5.1,0,87.1,68,0,0,0,0,0,166,128,1,9,1,0,9,0,1,9,0,4,0,4,0,0,0,0,0,0
2,2017,9,26,26/09/2017,73.8,65.3,1016.5,9.7,2.2,5.1,0,88,68,0,0,0,0,0,301,163,69,9,9,0,2,20,11,1,5,7,2,2,1,0,0,0,0,0
3,2018,5,30,30/05/2018,70,62.3,1018.5,8,2.3,5.1,0,89.1,62.1,0,0,0,0,0,310,167,86,11,9,0,1,12,11,2,3,2,1,1,3,1,0,0,0,0
2,2016,8,23,23/08/2016,71.2,50.4,1024.7,9.9,1.9,5.1,0,82,61,0,0,0,0,0,307,172,68,11,9,0,5,17,6,4,3,5,3,1,2,1,0,0,0,0
5,2018,7,20,20/07/2018,74.2,59.7,1020.5,9.9,1.3,5.1,0,82.9,66,0,0,0,0,0,333,187,92,13,7,0,2,14,4,3,2,4,1,4,0,0,0,0,0,0
3,2016,7,27,27/07/2016,82.6,61.4,1013.3,9.3,2.3,5.1,0,91,72,0,0,0,0,0,340,192,61,16,12,0,10,20,7,1,10,5,3,1,1,0,0,1,0,0
5,2016,9,23,23/09/2016,74,54.7,1016.5,9.6,1.3,5.1,0,87.1,64,0,0,0,0,0,378,201,90,17,16,0,1,21,9,3,9,4,1,3,1,2,0,0,0,0
6,2013,7,27,27/07/2013,75.2,61.2,1016.8,9.8,3.6,6,0,82,70,0,0,0,0,0,67,41,0,11,0,0,4,0,2,6,0,0,0,1,1,1,0,0,0,0
7,2013,8,18,18/08/2013,72.1,54.6,1023.5,9.8,2.5,6,0,84,64,0,0,0,0,0,74,49,1,6,2,0,5,1,2,3,0,5,0,0,0,0,0,0,0,0
2,2014,7,22,22/07/2014,77,63.5,1020.5,9.9,2.3,6,0,86,66.9,0,0,0,0,0,90,69,0,10,0,0,3,0,4,2,0,0,1,0,0,1,0,0,0,0
7,2015,12,13,13/12/2015,61.8,48.3,1020.3,6.5,2,6,0,66.9,55,0,0,0,0,0,119,80,0,15,2,0,7,0,4,5,0,4,1,0,0,1,0,0,0,0
7,2015,5,10,10/05/2015,70,60.5,1022.4,7,2.3,6,0,82.9,57,0,0,0,0,0,104,82,0,10,1,0,3,0,2,3,0,2,1,0,0,0,0,0,0,0
2,2014,6,17,17/06/2014,77.7,62.1,1016.7,9,3.4,6,0,89.1,63,0,0,0,0,0,120,84,1,7,2,0,4,2,1,16,0,0,1,2,0,0,0,0,0,0
1,2015,9,28,28/09/2015,70.1,60.3,1024.5,9.6,2.3,6,0,78.8,64.9,0,0,0,0,0,121,91,0,11,0,0,5,0,2,10,1,0,1,0,0,0,0,0,0,0
1,2013,9,30,30/09/2013,63.1,50.7,1017.6,9.8,2.1,6,0,75,55.9,0,0,0,0,0,120,92,0,6,0,0,5,0,2,9,0,1,0,4,1,0,0,0,0,0
