day,year,mo,da,collision_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,rain_drizzle,snow_ice_pellets,NUM_COLLISIONS,Driver_Inattention,Following_Too_Close,Traffic_Control_Disregarded,Unsafe_Speed,Pavement_Slippery,Alcohol_Involvement,Reaction_Uninvolved_Vehicle,View_Obstructed,Outside_Car_Distraction,Pedestrian_Bicyclist_Confusion,Aggressive_Driving_Rage,Obstruction_Debris,Glare,Pavement_Defective,Animals_Action,Driverless_Runaway_Vehicle,Lighting_Defects,Tinted_Windows,Windshield_Inadequate
1,2019,12,02,2019-12-02,35.3,32.7,999.0,5.4,8.2,15.0,29.9,39.0,30.0,0.65,999.9,1,1,1,264,137,51,11,13,29,1,5,8,2,3,3,0,0,1,0,0,0,0,0
7,2016,11,20,2016-11-20,41.2,31.7,1001.2,8.5,7.9,15.0,29.9,63.0,34.0,0.56,999.9,0,1,1,261,138,47,14,7,12,14,9,6,0,2,4,3,1,1,1,2,0,0,0
3,2017,01,04,2017-01-04,44.6,37.3,998.8,7.9,6.1,15.0,27.0,52.0,39.9,0.49,999.9,0,1,0,294,143,75,7,9,12,6,13,9,1,10,5,1,1,0,2,0,0,0,0
4,2016,09,29,2016-09-29,60.6,53.0,1026.4,8.7,8.8,15.0,27.0,69.1,55.9,0.0,999.9,0,0,0,252,146,52,14,8,3,6,11,2,2,2,1,2,0,3,0,0,0,0,0
5,2016,05,06,2016-05-06,50.7,45.1,1005.9,7.8,7.8,15.0,24.1,57.0,46.0,0.24,999.9,1,1,0,314,148,75,11,9,17,12,15,12,3,3,2,1,0,3,0,2,0,1,0
4,2018,04,05,2018-04-05,40.2,13.9,1015.1,10.0,9.3,15.0,28.9,55.9,34.0,0.04,999.9,0,0,0,242,149,44,8,11,0,2,6,12,1,2,3,2,2,0,0,0,0,0,0
6,2019,03,23,2019-03-23,40.6,20.1,1007.3,10.0,10.0,15.0,28.9,48.9,35.1,0.03,999.9,0,0,0,261,154,53,12,13,0,9,6,4,0,2,4,1,2,0,0,1,0,0,0
6,2017,04,08,2017-04-08,45.9,22.5,1007.6,10.0,8.5,15.0,25.1,57.0,39.9,0.0,999.9,0,0,0,294,155,75,12,12,0,9,12,7,0,6,4,1,0,1,0,0,0,0,0
6,2019,03,16,2019-03-16,51.2,30.0,1012.2,9.7,8.7,15.0,27.0,64.9,43.0,0.38,999.9,0,1,0,277,156,54,10,15,0,6,13,6,1,2,5,3,3,1,0,2,0,0,0
3,2017,12,13,2017-12-13,26.9,8.1,1000.0,9.9,9.5,15.0,26.0,50.0,19.9,0.0,999.9,0,0,1,293,161,66,15,9,3,6,10,8,0,7,5,0,3,0,0,0,0,0,0
4,2019,12,05,2019-12-05,38.6,27.5,1006.1,9.4,7.1,15.0,28.0,42.1,32.0,0.0,999.9,0,1,0,275,166,56,6,10,0,5,9,7,2,4,6,2,1,0,0,1,0,0,0
5,2019,10,11,2019-10-11,59.4,37.9,1020.0,10.0,8.3,15.0,25.1,71.1,53.1,0.0,999.9,0,0,0,280,168,66,6,11,1,2,12,5,1,1,4,1,0,0,1,1,0,0,0
5,2017,05,05,2017-05-05,53.7,49.5,1013.4,6.4,5.7,15.0,20.0,64.0,46.9,0.02,999.9,1,1,0,376,174,92,19,23,22,6,17,12,1,4,2,2,0,1,1,0,0,0,0
1,2016,11,21,2016-11-21,38.2,18.4,1003.8,9.8,10.9,15.0,33.0,42.1,34.0,0.31,999.9,0,0,1,315,174,75,13,12,0,6,7,12,2,7,0,2,1,1,1,2,0,0,0
5,2016,11,11,2016-11-11,53.4,31.4,1007.3,10.0,7.6,15.0,29.9,63.0,46.9,0.0,999.9,0,1,0,317,183,68,8,10,0,16,8,7,1,7,2,3,1,2,1,0,0,0,0
4,2019,06,13,2019-06-13,62.4,54.1,1014.0,8.7,5.6,15.0,27.0,73.9,55.0,0.0,999.9,0,1,0,315,191,69,10,9,10,7,6,4,0,3,2,2,0,0,1,0,0,1,0
2,2019,12,17,2019-12-17,33.5,29.8,1014.3,5.5,6.3,15.0,22.0,37.0,32.0,0.47,999.9,0,1,1,328,194,60,6,8,16,7,14,11,1,2,4,1,0,1,1,1,1,0,0
5,2019,03,22,2019-03-22,43.7,36.5,997.8,6.7,8.9,15.0,27.0,48.9,39.2,1.38,999.9,0,1,0,352,195,80,15,15,13,5,15,8,1,2,1,0,1,0,0,0,1,0,0
6,2016,10,22,2016-10-22,53.4,47.9,997.6,7.7,7.7,15.0,27.0,66.0,46.4,1.32,999.9,0,1,0,318,195,56,8,13,15,6,6,4,2,5,5,3,0,0,0,0,0,0,0
5,2019,11,01,2019-11-01,54.9,39.0,1012.8,9.9,8.7,15.0,25.1,71.1,45.0,0.33,999.9,0,1,0,370,218,88,11,10,2,8,14,5,1,3,4,3,3,0,0,0,0,0,0
7,2013,10,13,2013-10-13,60.3,49.4,1027.2,10.0,8.9,15.9,22.0,72.0,55.9,0.0,999.9,0,0,0,72,40,0,8,2,0,11,0,1,7,0,1,1,1,0,0,0,0,0,0
6,2013,12,14,2013-12-14,28.2,17.5,1027.8,5.7,7.0,15.9,22.9,34.0,21.2,0.0,999.9,1,0,1,196,40,0,15,1,112,9,1,5,9,0,3,0,0,1,0,0,0,0,0
